batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
1,8,1753130543.8128734,1753130550.6792626,6866.389274597168,0.0,100.0,1.1650956099440397,,1,2025-07-21T15:42:30.679477
2,8,1753130543.8164175,1753130550.7406666,6924.249172210693,0.0,100.0,1.1553599243809207,,1,2025-07-21T15:42:30.740806
0,8,1753130543.808902,1753130551.0339,7224.997997283936,0.0,75.0,1.1072667429122345,,1,2025-07-21T15:42:31.034078
5,8,1753130551.054329,1753130557.3238688,6269.539833068848,0.0,87.5,1.276010714184125,,1,2025-07-21T15:42:37.324071
3,8,1753130550.6896768,1753130557.4054022,6715.725421905518,0.0,100.0,1.1912339319152931,,1,2025-07-21T15:42:37.405565
4,8,1753130550.7509468,1753130557.4770532,6726.106405258179,0.0,87.5,1.1893953972755986,,1,2025-07-21T15:42:37.477214
